5670<=x<=5700; y=2533.000000+-0.433333x; interpolation
5700<=x<=5730; y=-317.000000+0.066667x; interpolation
5730<=x<=5760; y=-2227.000000+0.400000x; interpolation
5760<=x<=5790; y=269.000000+-0.033333x; interpolation
5790<=x<=5820; y=2585.000000+-0.433333x; interpolation
5820<=x<=5850; y=63.000000+0.000000x; interpolation
5850<=x<=5880; y=-3447.000000+0.600000x; interpolation
5880<=x<=5910; y=865.000000+-0.133333x; interpolation
5910<=x<=5940; y=3426.000000+-0.566667x; interpolation
5940<=x<=5970; y=-336.000000+0.066667x; interpolation
5970<=x<=6000; y=-3719.000000+0.633333x; interpolation
6000<=x<=6030; y=1681.000000+-0.266667x; interpolation
6030<=x<=6060; y=2083.000000+-0.333333x; interpolation
6060<=x<=6090; y=-341.000000+0.066667x; interpolation
6090<=x<=6120; y=-2980.000000+0.500000x; interpolation
6120<=x<=6150; y=1304.000000+-0.200000x; interpolation
6150<=x<=6180; y=3149.000000+-0.500000x; interpolation
6180<=x<=6210; y=-1177.000000+0.200000x; interpolation
6210<=x<=6240; y=-2833.000000+0.466667x; interpolation
6240<=x<=6270; y=703.000000+-0.100000x; interpolation
6270<=x<=6300; y=2793.000000+-0.433333x; interpolation
6300<=x<=6330; y=-357.000000+0.066667x; interpolation
6330<=x<=6360; y=-2889.000000+0.466667x; interpolation
6360<=x<=6390; y=1563.000000+-0.233333x; interpolation
6390<=x<=6420; y=2415.000000+-0.366667x; interpolation
6420<=x<=6450; y=-795.000000+0.133333x; interpolation
6450<=x<=6480; y=-2945.000000+0.466667x; interpolation
6480<=x<=6510; y=1159.000000+-0.166667x; interpolation
6510<=x<=6540; y=-360.000000+0.066667x; interpolation
6540<=x<=6570; y=294.000000+-0.033333x; interpolation
6570<=x<=6600; y=2703.000000+-0.400000x; interpolation
6600<=x<=6630; y=503.000000+-0.066667x; interpolation
6630<=x<=6660; y=-3696.000000+0.566667x; interpolation
6660<=x<=6690; y=744.000000+-0.100000x; interpolation
6690<=x<=6720; y=2751.000000+-0.400000x; interpolation
6720<=x<=6750; y=-385.000000+0.066667x; interpolation
6750<=x<=6780; y=-3085.000000+0.466667x; interpolation
6780<=x<=6810; y=1209.000000+-0.166667x; interpolation
6810<=x<=6840; y=3252.000000+-0.466667x; interpolation
6840<=x<=6870; y=-1080.000000+0.166667x; interpolation
6870<=x<=6900; y=-1996.000000+0.300000x; interpolation
6900<=x<=6930; y=994.000000+-0.133333x; interpolation
6930<=x<=6960; y=3073.000000+-0.433333x; interpolation
6960<=x<=6990; y=-871.000000+0.133333x; interpolation
6990<=x<=7020; y=-2269.000000+0.333333x; interpolation
7020<=x<=7050; y=-631.000000+0.100000x; interpolation
7050<=x<=7080; y=3364.000000+-0.466667x; interpolation
7080<=x<=7110; y=-1592.000000+0.233333x; interpolation
7110<=x<=7140; y=-2777.000000+0.400000x; interpolation
7140<=x<=7170; y=1269.000000+-0.166667x; interpolation
7170<=x<=7200; y=3420.000000+-0.466667x; interpolation
7200<=x<=7230; y=-1860.000000+0.266667x; interpolation
7230<=x<=7260; y=-2342.000000+0.333333x; interpolation
7260<=x<=7290; y=2014.000000+-0.266667x; interpolation
7290<=x<=7320; y=2014.000000+-0.266667x; interpolation
7320<=x<=7350; y=-1402.000000+0.200000x; interpolation
7350<=x<=7380; y=-1402.000000+0.200000x; interpolation
7380<=x<=7410; y=1304.000000+-0.166667x; interpolation
7410<=x<=7440; y=2292.000000+-0.300000x; interpolation
7440<=x<=7470; y=2788.000000+-0.366667x; interpolation
7470<=x<=7500; y=-7421.000000+1.000000x; interpolation
7500<=x<=7530; y=4079.000000+-0.533333x; interpolation
7530<=x<=7560; y=314.000000+-0.033333x; interpolation
7560<=x<=7590; y=-4474.000000+0.600000x; interpolation
7590<=x<=7620; y=586.000000+-0.066667x; interpolation
7620<=x<=7650; y=4396.000000+-0.566667x; interpolation
7650<=x<=7680; y=-449.000000+0.066667x; interpolation
7680<=x<=7710; y=-3009.000000+0.400000x; interpolation
7710<=x<=7740; y=-953.000000+0.133333x; interpolation
7740<=x<=7770; y=4723.000000+-0.600000x; interpolation
7770<=x<=7800; y=-198.000000+0.033333x; interpolation
7800<=x<=7830; y=-4618.000000+0.600000x; interpolation
7830<=x<=7860; y=1124.000000+-0.133333x; interpolation
7860<=x<=7890; y=4006.000000+-0.500000x; interpolation
7890<=x<=7920; y=61.000000+0.000000x; interpolation
7920<=x<=7950; y=-4691.000000+0.600000x; interpolation
7950<=x<=7980; y=1139.000000+-0.133333x; interpolation
7980<=x<=8010; y=4331.000000+-0.533333x; interpolation
8010<=x<=8040; y=-1276.000000+0.166667x; interpolation
8040<=x<=8070; y=-3956.000000+0.500000x; interpolation
8070<=x<=8100; y=348.000000+-0.033333x; interpolation
8100<=x<=8130; y=5478.000000+-0.666667x; interpolation
8130<=x<=8160; y=329.000000+-0.033333x; interpolation
8160<=x<=8190; y=-5655.000000+0.700000x; interpolation
8190<=x<=8220; y=78.000000+0.000000x; interpolation
8220<=x<=8250; y=5010.000000+-0.600000x; interpolation
8250<=x<=8280; y=-490.000000+0.066667x; interpolation
8280<=x<=8310; y=-5458.000000+0.666667x; interpolation
8310<=x<=8340; y=359.000000+-0.033333x; interpolation
8340<=x<=8370; y=5641.000000+-0.666667x; interpolation
8370<=x<=8400; y=619.000000+-0.066667x; interpolation
8400<=x<=8430; y=-3861.000000+0.466667x; interpolation
8430<=x<=8460; y=2883.000000+-0.333333x; interpolation
8460<=x<=8490; y=-4731.000000+0.566667x; interpolation
8490<=x<=8520; y=1778.000000+-0.200000x; interpolation
8520<=x<=8550; y=4050.000000+-0.466667x; interpolation
8550<=x<=8580; y=-795.000000+0.100000x; interpolation
8580<=x<=8610; y=-4799.000000+0.566667x; interpolation
8610<=x<=8640; y=4959.000000+-0.566667x; interpolation
8640<=x<=8670; y=-3681.000000+0.433333x; interpolation
8670<=x<=8700; y=4700.000000+-0.533333x; interpolation
8700<=x<=8730; y=-1970.000000+0.233333x; interpolation
8730<=x<=8760; y=-1679.000000+0.200000x; interpolation
8760<=x<=8790; y=-1679.000000+0.200000x; interpolation
8790<=x<=8820; y=958.000000+-0.100000x; interpolation
8820<=x<=8850; y=4192.000000+-0.466667x; interpolation
8850<=x<=8880; y=-528.000000+0.066667x; interpolation
8880<=x<=8910; y=-4376.000000+0.500000x; interpolation
8910<=x<=8940; y=376.000000+-0.033333x; interpolation
8940<=x<=8970; y=5442.000000+-0.600000x; interpolation
8970<=x<=9000; y=-1435.000000+0.166667x; interpolation
9000<=x<=9030; y=-4135.000000+0.466667x; interpolation
9030<=x<=9060; y=1584.000000+-0.166667x; interpolation
9060<=x<=9090; y=4302.000000+-0.466667x; interpolation
9090<=x<=9120; y=-546.000000+0.066667x; interpolation
9120<=x<=9150; y=-5106.000000+0.566667x; interpolation
9150<=x<=9180; y=689.000000+-0.066667x; interpolation
9180<=x<=9210; y=5585.000000+-0.600000x; interpolation
9210<=x<=9240; y=-1783.000000+0.200000x; interpolation
9240<=x<=9270; y=-4863.000000+0.533333x; interpolation
9270<=x<=9300; y=2244.000000+-0.233333x; interpolation
9300<=x<=9330; y=-1166.000000+0.133333x; interpolation
9330<=x<=9360; y=700.000000+-0.066667x; interpolation
9360<=x<=9390; y=5692.000000+-0.600000x; interpolation
9390<=x<=9420; y=-1507.000000+0.166667x; interpolation
9420<=x<=9450; y=-5275.000000+0.566667x; interpolation
9450<=x<=9480; y=2285.000000+-0.233333x; interpolation
9480<=x<=9510; y=3865.000000+-0.400000x; interpolation
9510<=x<=9540; y=-256.000000+0.033333x; interpolation
9540<=x<=9570; y=-5980.000000+0.633333x; interpolation
9570<=x<=9600; y=1676.000000+-0.166667x; interpolation
9600<=x<=9630; y=4556.000000+-0.466667x; interpolation
9630<=x<=9660; y=-901.000000+0.100000x; interpolation
9660<=x<=9690; y=-3799.000000+0.400000x; interpolation
9690<=x<=9720; y=723.000000+-0.066667x; interpolation
