12990<=x<13020; y=-801.000000+0.066667x; interpolation
13020<=x<13050; y=1369.000000+-0.100000x; interpolation
13050<=x<13080; y=-1676.000000+0.133333x; interpolation
13080<=x<13110; y=940.000000+-0.066667x; interpolation
13110<=x<13140; y=-808.000000+0.066667x; interpolation
13140<=x<13170; y=-4750.000000+0.366667x; interpolation
13170<=x<13200; y=-2116.000000+0.166667x; interpolation
13200<=x<13230; y=1844.000000+-0.133333x; interpolation
13230<=x<13260; y=1403.000000+-0.100000x; interpolation
13260<=x<13290; y=-1249.000000+0.100000x; interpolation
13290<=x<13320; y=5839.000000+-0.433333x; interpolation
13320<=x<13350; y=1843.000000+-0.133333x; interpolation
13350<=x<13380; y=-1272.000000+0.100000x; interpolation
13380<=x<13410; y=958.000000+-0.066667x; interpolation
13410<=x<13440; y=958.000000+-0.066667x; interpolation
13440<=x<13470; y=-1282.000000+0.100000x; interpolation
13470<=x<13500; y=-1731.000000+0.133333x; interpolation
13500<=x<13530; y=-3981.000000+0.300000x; interpolation
13530<=x<13560; y=980.000000+-0.066667x; interpolation
13560<=x<13590; y=5048.000000+-0.366667x; interpolation
13590<=x<13620; y=-1294.000000+0.100000x; interpolation
13620<=x<13650; y=2338.000000+-0.166667x; interpolation
13650<=x<13680; y=-6307.000000+0.466667x; interpolation
13680<=x<13710; y=6005.000000+-0.433333x; interpolation
13710<=x<13740; y=-850.000000+0.066667x; interpolation
13740<=x<13770; y=-7720.000000+0.566667x; interpolation
13770<=x<13800; y=2837.000000+-0.200000x; interpolation
13800<=x<13830; y=1917.000000+-0.133333x; interpolation
13830<=x<13860; y=-3154.000000+0.233333x; interpolation
13860<=x<13890; y=3776.000000+-0.266667x; interpolation
13890<=x<13920; y=-2706.000000+0.200000x; interpolation
13920<=x<13950; y=-2242.000000+0.166667x; interpolation
13950<=x<13980; y=2873.000000+-0.200000x; interpolation
13980<=x<14010; y=5669.000000+-0.400000x; interpolation
14010<=x<14040; y=-869.000000+0.066667x; interpolation
14040<=x<14070; y=535.000000+-0.033333x; interpolation
14070<=x<14100; y=-403.000000+0.033333x; interpolation
14100<=x<14130; y=-5103.000000+0.366667x; interpolation
14130<=x<14160; y=549.000000+-0.033333x; interpolation
14160<=x<14190; y=1021.000000+-0.066667x; interpolation
14190<=x<14220; y=2913.000000+-0.200000x; interpolation
14220<=x<14250; y=-7041.000000+0.500000x; interpolation
14250<=x<14280; y=3884.000000+-0.266667x; interpolation
14280<=x<14310; y=-2304.000000+0.166667x; interpolation
14310<=x<14340; y=-873.000000+0.066667x; interpolation
14340<=x<14370; y=83.000000+0.000000x; interpolation
14370<=x<14400; y=4873.000000+-0.333333x; interpolation
14400<=x<14430; y=-1847.000000+0.133333x; interpolation
14430<=x<14460; y=-2809.000000+0.200000x; interpolation
14460<=x<14490; y=8759.000000+-0.600000x; interpolation
14490<=x<14520; y=65.000000+0.000000x; interpolation
14520<=x<14550; y=549.000000+-0.033333x; interpolation
14550<=x<14580; y=-9636.000000+0.666667x; interpolation
14580<=x<14610; y=2028.000000+-0.133333x; interpolation
14610<=x<14640; y=7872.000000+-0.533333x; interpolation
14640<=x<14670; y=-912.000000+0.066667x; interpolation
14670<=x<14700; y=-6291.000000+0.433333x; interpolation
14700<=x<14730; y=-1881.000000+0.133333x; interpolation
14730<=x<14760; y=-408.000000+0.033333x; interpolation
14760<=x<14790; y=1068.000000+-0.066667x; interpolation
